# This file lists of the beamformer sweet spots
# The gridpoint_number is an MWA-specific identifier
# Azimuth angle (AZ) increases clockwise from north (AZ = 0 is local north, AZ = 90 is east etc.).
# Delay calculations of the perfect beamformer pointings using a nominal value of 435 picoseconds 
# for each delay-line step on the delay boards.
#azimuth,zenith_angle,gridpoint_number,delays
63.4349,32.019,62,6,10,14,18,4,8,12,16,2,6,10,14,0,4,8,12
116.5651,32.019,63,0,4,8,12,2,6,10,14,4,8,12,16,6,10,14,18
153.4349,32.019,64,0,2,4,6,4,6,8,10,8,10,12,14,12,14,16,18
206.5651,32.019,65,6,4,2,0,10,8,6,4,14,12,10,8,18,16,14,12
243.4349,32.019,66,12,8,4,0,14,10,6,2,16,12,8,4,18,14,10,6
296.5651,32.019,67,18,14,10,6,16,12,8,4,14,10,6,2,12,8,4,0
333.4349,32.019,68,18,16,14,12,14,12,10,8,10,8,6,4,6,4,2,0
0,36.3547,69,15,15,15,15,10,10,10,10,5,5,5,5,0,0,0,0
36.8699,36.3547,70,12,15,18,21,8,11,14,17,4,7,10,13,0,3,6,9
53.1301,36.3547,71,9,13,17,21,6,10,14,18,3,7,11,15,0,4,8,12
90,36.3547,72,0,5,10,15,0,5,10,15,0,5,10,15,0,5,10,15
126.8699,36.3547,73,0,4,8,12,3,7,11,15,6,10,14,18,9,13,17,21
143.1301,36.3547,74,0,3,6,9,4,7,10,13,8,11,14,17,12,15,18,21
180,36.3547,75,0,0,0,0,5,5,5,5,10,10,10,10,15,15,15,15
216.8699,36.3547,76,9,6,3,0,13,10,7,4,17,14,11,8,21,18,15,12
233.1301,36.3547,77,12,8,4,0,15,11,7,3,18,14,10,6,21,17,13,9
270,36.3547,78,15,10,5,0,15,10,5,0,15,10,5,0,15,10,5,0
306.8699,36.3547,79,21,17,13,9,18,14,10,6,15,11,7,3,12,8,4,0
323.1301,36.3547,80,21,18,15,12,17,14,11,8,13,10,7,4,9,6,3,0
11.3099,37.1944,81,15,16,17,18,10,11,12,13,5,6,7,8,0,1,2,3
78.6901,37.1944,82,3,8,13,18,2,7,12,17,1,6,11,16,0,5,10,15
101.3099,37.1944,83,0,5,10,15,1,6,11,16,2,7,12,17,3,8,13,18
168.6901,37.1944,84,0,1,2,3,5,6,7,8,10,11,12,13,15,16,17,18
191.3099,37.1944,85,3,2,1,0,8,7,6,5,13,12,11,10,18,17,16,15
258.6901,37.1944,86,15,10,5,0,16,11,6,1,17,12,7,2,18,13,8,3
281.3099,37.1944,87,18,13,8,3,17,12,7,2,16,11,6,1,15,10,5,0
348.6901,37.1944,88,18,17,16,15,13,12,11,10,8,7,6,5,3,2,1,0
21.8014,39.6761,89,15,17,19,21,10,12,14,16,5,7,9,11,0,2,4,6
68.1986,39.6761,90,6,11,16,21,4,9,14,19,2,7,12,17,0,5,10,15
111.8014,39.6761,91,0,5,10,15,2,7,12,17,4,9,14,19,6,11,16,21
158.1986,39.6761,92,0,2,4,6,5,7,9,11,10,12,14,16,15,17,19,21
201.8014,39.6761,93,6,4,2,0,11,9,7,5,16,14,12,10,21,19,17,15
248.1986,39.6761,94,15,10,5,0,17,12,7,2,19,14,9,4,21,16,11,6
291.8014,39.6761,95,21,16,11,6,19,14,9,4,17,12,7,2,15,10,5,0
338.1986,39.6761,96,21,19,17,15,16,14,12,10,11,9,7,5,6,4,2,0
45,42.1178,97,12,16,20,24,8,12,16,20,4,8,12,16,0,4,8,12
135,42.1178,98,0,4,8,12,4,8,12,16,8,12,16,20,12,16,20,24
225,42.1178,99,12,8,4,0,16,12,8,4,20,16,12,8,24,20,16,12
315,42.1178,100,24,20,16,12,20,16,12,8,16,12,8,4,12,8,4,0
30.9638,43.7329,101,15,18,21,24,10,13,16,19,5,8,11,14,0,3,6,9
59.0362,43.7329,102,9,14,19,24,6,11,16,21,3,8,13,18,0,5,10,15
